route_id,service_id,trip_id,direction_id,shape_id
CR_HARBOUR,weekday,99432,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99434,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99436,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99438,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99440,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99442,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99444,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99446,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99448,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99450,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99232,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99234,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99236,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99238,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99240,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99242,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99452,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99454,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99456,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99458,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99460,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
